Concentración,Expuestos,Vivos,Genera,Sujeto
100,10,7,Macroteleia,1
75,10,10,Macroteleia,1
50,10,10,Macroteleia,1
25,10,10,Macroteleia,1
100,10,3,Macroteleia,2
75,10,7,Macroteleia,2
50,10,10,Macroteleia,2
25,10,10,Macroteleia,2
100,10,0,Chromoteleia,1
75,10,2,Chromoteleia,1
50,10,8,Chromoteleia,1
25,10,10,Chromoteleia,1
100,10,0,Chromoteleia,2
75,10,4,Chromoteleia,2
50,10,8,Chromoteleia,2
25,10,10,Chromoteleia,2
100,10,10,Scelio,1
75,10,10,Scelio,1
50,10,10,Scelio,1
25,10,10,Scelio,1
100,10,7,Scelio,2
75,10,7,Scelio,2
50,10,9,Scelio,2
25,10,9,Scelio,2
100,10,0,Baryconus,1
75,10,1,Baryconus,1
50,10,8,Baryconus,1
25,10,9,Baryconus,1